Altersklasse,Covid-Fälle
0 - 9,302
10 - 19,3190
20 - 29,6286
30 - 39,5715
40 - 49,5260
50 - 59,6108
60 - 69,3718
70 - 79,2400
80+,2818
Unbekannt,5
