Altersklasse,Covid-Fälle
0 - 9,427
10 - 19,3812
20 - 29,7103
30 - 39,6545
40 - 49,6116
50 - 59,6848
60 - 69,4108
70 - 79,2552
80+,2887
Unbekannt,5
