Altersklasse,Männer,Frauen,Total
0 - 9,49.0,30.0,79.0
10 - 19,442.0,472.0,914.0
20 - 29,1162.0,1154.0,2316.0
30 - 39,937.0,935.0,1872.0
40 - 49,767.0,807.0,1574.0
50 - 59,886.0,968.0,1854.0
60 - 69,560.0,435.0,995.0
70 - 79,283.0,258.0,541.0
80+,239.0,391.0,630.0
