Altersklasse,Männer,Frauen,Total
0 - 9,6,4,10
10 - 19,31,31,62
20 - 29,106,120,226
30 - 39,76,93,169
40 - 49,70,72,142
50 - 59,100,100,200
60 - 69,63,60,123
70 - 79,46,42,88
80+,23,27,50
