Altersklasse,Männer,Frauen,Total
0 - 9,10,9,19
10 - 19,82,122,204
20 - 29,338,281,619
30 - 39,227,240,467
40 - 49,224,193,417
50 - 59,286,247,533
60 - 69,147,127,274
70 - 79,74,59,133
80+,52,73,125
