Altersklasse,Covid-Fälle
0 - 9,297
10 - 19,1563
20 - 29,2743
30 - 39,2477
40 - 49,2194
50 - 59,2543
60 - 69,1561
70 - 79,898
80+,1126
Unbekannt,2
