Altersklasse,Covid-Fälle
0 - 9,376
10 - 19,2844
20 - 29,5428
30 - 39,5354
40 - 49,4968
50 - 59,5320
60 - 69,3201
70 - 79,1779
80+,2026
Unbekannt,6
