Altersklasse,Covid-Fälle
0 - 9,449
10 - 19,1843
20 - 29,3085
30 - 39,2831
40 - 49,2525
50 - 59,2866
60 - 69,1750
70 - 79,974
80+,1165
Unbekannt,2
