Altersklasse,Covid-Fälle
0 - 9,338
10 - 19,3278
20 - 29,6429
30 - 39,5880
40 - 49,5402
50 - 59,6234
60 - 69,3790
70 - 79,2436
80+,2834
Unbekannt,5
