Altersklasse,Covid-Fälle
0 - 9,503
10 - 19,3172
20 - 29,5988
30 - 39,5168
40 - 49,4523
50 - 59,4917
60 - 69,2677
70 - 79,1421
80+,1713
Unbekannt,2
