Altersklasse,Covid-Fälle
0 - 9,1083
10 - 19,4797
20 - 29,7850
30 - 39,7850
40 - 49,7455
50 - 59,7597
60 - 69,4386
70 - 79,2297
80+,2460
Unbekannt,7
