Altersklasse,Covid-Fälle
0 - 9,585
10 - 19,4494
20 - 29,7790
30 - 39,7107
40 - 49,6606
50 - 59,7234
60 - 69,4277
70 - 79,2600
80+,2935
Unbekannt,5
