Altersklasse,Männer,Frauen,Total
0 - 9,119.0,106.0,225.0
10 - 19,933.0,898.0,1831.0
20 - 29,1760.0,1889.0,3649.0
30 - 39,1693.0,1694.0,3389.0
40 - 49,1536.0,1626.0,3165.0
50 - 59,1701.0,1644.0,3346.0
60 - 69,1042.0,937.0,1980.0
70 - 79,546.0,500.0,1046.0
80+,388.0,619.0,1007.0
