Altersklasse,Männer,Frauen,Total
0 - 9,33,32,65
10 - 19,437,502,939
20 - 29,1129,1094,2223
30 - 39,921,788,1709
40 - 49,801,823,1624
50 - 59,915,954,1869
60 - 69,651,587,1238
70 - 79,433,351,784
80+,424,681,1105
