Altersklasse,Covid-Fälle
0 - 9,183
10 - 19,1352
20 - 29,2480
30 - 39,2210
40 - 49,1964
50 - 59,2336
60 - 69,1446
70 - 79,860
80+,1102
Unbekannt,2
