Altersklasse,Covid-Fälle
0 - 9,1082
10 - 19,4794
20 - 29,7848
30 - 39,7849
40 - 49,7450
50 - 59,7596
60 - 69,4385
70 - 79,2297
80+,2460
Unbekannt,7
