Altersklasse,Covid-Fälle
0 - 9,598
10 - 19,3546
20 - 29,6384
30 - 39,6356
40 - 49,5955
50 - 59,6288
60 - 69,3732
70 - 79,2059
80+,2360
Unbekannt,6
