Altersklasse,Männer,Frauen,Total
0 - 9,28,21,49
10 - 19,290,318,608
20 - 29,824,751,1575
30 - 39,622,617,1239
40 - 49,551,529,1080
50 - 59,646,657,1303
60 - 69,397,304,701
70 - 79,179,168,347
80+,123,204,327
