Altersklasse,Covid-Fälle
0 - 9,185
10 - 19,1392
20 - 29,2521
30 - 39,2540
40 - 49,2206
50 - 59,2724
60 - 69,1610
70 - 79,948
80+,1165
Unbekannt,6
