Altersklasse,Männer,Frauen,Total
0 - 9,29.0,22.0,51.0
10 - 19,185.0,223.0,408.0
20 - 29,470.0,528.0,998.0
30 - 39,426.0,490.0,916.0
40 - 49,390.0,375.0,765.0
50 - 59,489.0,497.0,986.0
60 - 69,295.0,293.0,588.0
70 - 79,194.0,180.0,374.0
80+,122.0,200.0,322.0
