Altersklasse,Covid-Fälle
0 - 9,211
10 - 19,1777
20 - 29,4107
30 - 39,3595
40 - 49,3074
50 - 59,3560
60 - 69,1916
70 - 79,1121
80+,1504
Unbekannt,2
