Altersklasse,Männer,Frauen,Total
0 - 9,9,5,14
10 - 19,54,54,108
20 - 29,151,171,322
30 - 39,124,137,261
40 - 49,112,107,219
50 - 59,158,149,307
60 - 69,101,101,202
70 - 79,73,75,148
80+,41,65,106
