Altersklasse,Männer,Frauen,Total
0 - 9,29,21,50
10 - 19,213,224,437
20 - 29,548,570,1118
30 - 39,468,448,917
40 - 49,433,432,867
50 - 59,492,474,966
60 - 69,308,258,567
70 - 79,159,138,297
80+,110,120,230
