Altersklasse,Covid-Fälle
0 - 9,528
10 - 19,4248
20 - 29,7433
30 - 39,6914
40 - 49,6466
50 - 59,7118
60 - 69,4232
70 - 79,2584
80+,2916
Unbekannt,5
