Altersklasse,Covid-Fälle
0 - 9,488
10 - 19,1924
20 - 29,3159
30 - 39,2927
40 - 49,2598
50 - 59,2940
60 - 69,1781
70 - 79,991
80+,1170
Unbekannt,2
