Altersklasse,Covid-Fälle
0 - 9,175
10 - 19,1669
20 - 29,3964
30 - 39,3420
40 - 49,2913
50 - 59,3407
60 - 69,1806
70 - 79,1059
80+,1449
Unbekannt,2
