Altersklasse,Covid-Fälle
0 - 9,466
10 - 19,2937
20 - 29,5627
30 - 39,4957
40 - 49,4397
50 - 59,4792
60 - 69,2638
70 - 79,1402
80+,1688
Unbekannt,2
