Altersklasse,Covid-Fälle
0 - 9,937
10 - 19,4323
20 - 29,7248
30 - 39,7284
40 - 49,6863
50 - 59,7021
60 - 69,4097
70 - 79,2212
80+,2420
Unbekannt,7
