Altersklasse,Männer,Frauen,Total
0 - 9,14,11,25
10 - 19,158,199,357
20 - 29,532,459,991
30 - 39,379,369,748
40 - 49,368,319,687
50 - 59,439,390,829
60 - 69,241,195,436
70 - 79,122,103,225
80+,67,114,181
