Altersklasse,Covid-Fälle
0 - 9,753
10 - 19,2475
20 - 29,3807
30 - 39,3447
40 - 49,2932
50 - 59,3195
60 - 69,1871
70 - 79,1017
80+,1187
Unbekannt,4
