Altersklasse,Covid-Fälle
0 - 9,357
10 - 19,2056
20 - 29,3495
30 - 39,3388
40 - 49,2823
50 - 59,3372
60 - 69,1918
70 - 79,1058
80+,1231
Unbekannt,6
