Altersklasse,Covid-Fälle
0 - 9,137
10 - 19,1184
20 - 29,2337
30 - 39,2303
40 - 49,2014
50 - 59,2514
60 - 69,1496
70 - 79,879
80+,1144
Unbekannt,5
