Altersklasse,Covid-Fälle
0 - 9,392
10 - 19,2178
20 - 29,3676
30 - 39,3570
40 - 49,2927
50 - 59,3452
60 - 69,1959
70 - 79,1065
80+,1232
Unbekannt,6
