Altersklasse,Covid-Fälle
0 - 9,360
10 - 19,3398
20 - 29,6602
30 - 39,6067
40 - 49,5594
50 - 59,6412
60 - 69,3874
70 - 79,2472
80+,2844
Unbekannt,5
