Altersklasse,Covid-Fälle
0 - 9,107
10 - 19,1037
20 - 29,2080
30 - 39,2042
40 - 49,1784
50 - 59,2252
60 - 69,1346
70 - 79,803
80+,988
Unbekannt,5
