Altersklasse,Covid-Fälle
0 - 9,276
10 - 19,1525
20 - 29,2688
30 - 39,2418
40 - 49,2139
50 - 59,2501
60 - 69,1541
70 - 79,891
80+,1122
Unbekannt,2
