Altersklasse,Covid-Fälle
0 - 9,456
10 - 19,2838
20 - 29,5536
30 - 39,4883
40 - 49,4334
50 - 59,4739
60 - 69,2609
70 - 79,1393
80+,1687
Unbekannt,2
