Altersklasse,Covid-Fälle
0 - 9,327
10 - 19,1872
20 - 29,3170
30 - 39,3151
40 - 49,2687
50 - 59,3270
60 - 69,1874
70 - 79,1050
80+,1230
Unbekannt,6
