Altersklasse,Covid-Fälle
0 - 9,241
10 - 19,2836
20 - 29,5804
30 - 39,5239
40 - 49,4816
50 - 59,5687
60 - 69,3459
70 - 79,2261
80+,2723
Unbekannt,5
