Altersklasse,Covid-Fälle
0 - 9,333
10 - 19,1637
20 - 29,2829
30 - 39,2561
40 - 49,2263
50 - 59,2628
60 - 69,1611
70 - 79,922
80+,1135
Unbekannt,2
