Altersklasse,Covid-Fälle
0 - 9,236
10 - 19,1815
20 - 29,4167
30 - 39,3671
40 - 49,3142
50 - 59,3615
60 - 69,1955
70 - 79,1132
80+,1514
Unbekannt,2
