Altersklasse,Männer,Frauen,Total
0 - 9,26,25,51
10 - 19,365,406,771
20 - 29,974,879,1853
30 - 39,751,634,1385
40 - 49,641,641,1282
50 - 59,747,769,1516
60 - 69,543,475,1018
70 - 79,304,260,564
80+,233,325,558
