Altersklasse,Covid-Fälle
0 - 9,509
10 - 19,3322
20 - 29,6076
30 - 39,6053
40 - 49,5637
50 - 59,5993
60 - 69,3574
70 - 79,1984
80+,2321
Unbekannt,6
