Altersklasse,Covid-Fälle
0 - 9,353
10 - 19,2049
20 - 29,3480
30 - 39,3378
40 - 49,2816
50 - 59,3366
60 - 69,1916
70 - 79,1058
80+,1230
Unbekannt,6
