Altersklasse,Covid-Fälle
0 - 9,325
10 - 19,1855
20 - 29,3119
30 - 39,3128
40 - 49,2680
50 - 59,3255
60 - 69,1870
70 - 79,1047
80+,1230
Unbekannt,6
