Altersklasse,Männer,Frauen,Total
0 - 9,23,12,35
10 - 19,140,164,304
20 - 29,338,370,708
30 - 39,306,338,644
40 - 49,274,253,527
50 - 59,356,345,701
60 - 69,214,217,431
70 - 79,143,130,273
80+,84,129,213
