Altersklasse,Männer,Frauen,Total
0 - 9,21,19,40
10 - 19,153,165,318
20 - 29,407,407,814
30 - 39,311,312,624
40 - 49,303,290,595
50 - 59,352,354,706
60 - 69,237,197,435
70 - 79,114,101,215
80+,93,89,182
