Altersklasse,Männer,Frauen,Total
0 - 9,18,14,32
10 - 19,199,230,429
20 - 29,627,567,1194
30 - 39,464,470,934
40 - 49,418,383,801
50 - 59,508,487,995
60 - 69,295,232,527
70 - 79,134,121,255
80+,80,130,210
