Altersklasse,Covid-Fälle
0 - 9,566
10 - 19,3464
20 - 29,6285
30 - 39,6257
40 - 49,5853
50 - 59,6215
60 - 69,3688
70 - 79,2033
80+,2351
Unbekannt,6
