Altersklasse,Covid-Fälle
0 - 9,677
10 - 19,4995
20 - 29,8687
30 - 39,7701
40 - 49,7026
50 - 59,7508
60 - 69,4389
70 - 79,2638
80+,2948
Unbekannt,5
