Altersklasse,Männer,Frauen,Total
0 - 9,32,23,55
10 - 19,227,237,464
20 - 29,575,599,1174
30 - 39,491,473,965
40 - 49,466,465,933
50 - 59,516,489,1006
60 - 69,327,268,596
70 - 79,167,143,310
80+,113,125,238
