Altersklasse,Covid-Fälle
0 - 9,820
10 - 19,3970
20 - 29,6818
30 - 39,6779
40 - 49,6432
50 - 59,6649
60 - 69,3900
70 - 79,2152
80+,2385
Unbekannt,7
