Altersklasse,Männer,Frauen,Total
0 - 9,45.0,46.0,91.0
10 - 19,570.0,663.0,1233.0
20 - 29,1387.0,1428.0,2815.0
30 - 39,1217.0,1086.0,2303.0
40 - 49,1030.0,1103.0,2133.0
50 - 59,1177.0,1267.0,2444.0
60 - 69,835.0,756.0,1591.0
70 - 79,516.0,450.0,966.0
80+,378.0,601.0,979.0
