Altersklasse,Covid-Fälle
0 - 9,228
10 - 19,1461
20 - 29,2589
30 - 39,2317
40 - 49,2053
50 - 59,2427
60 - 69,1506
70 - 79,875
80+,1113
Unbekannt,2
