Altersklasse,Covid-Fälle
0 - 9,381
10 - 19,2529
20 - 29,5214
30 - 39,4572
40 - 49,4055
50 - 59,4497
60 - 69,2477
70 - 79,1345
80+,1655
Unbekannt,2
