Altersklasse,Männer,Frauen,Total
0 - 9,23,15,38
10 - 19,149,185,334
20 - 29,375,410,785
30 - 39,336,380,716
40 - 49,312,285,597
50 - 59,393,380,773
60 - 69,232,241,473
70 - 79,156,146,302
80+,100,146,246
