Altersklasse,Covid-Fälle
0 - 9,166
10 - 19,1286
20 - 29,2402
30 - 39,2138
40 - 49,1903
50 - 59,2273
60 - 69,1410
70 - 79,844
80+,1089
Unbekannt,2
