Altersklasse,Covid-Fälle
0 - 9,368
10 - 19,1708
20 - 29,2930
30 - 39,2661
40 - 49,2378
50 - 59,2706
60 - 69,1668
70 - 79,947
80+,1141
Unbekannt,2
