Altersklasse,Männer,Frauen,Total
0 - 9,8,8,16
10 - 19,61,104,165
20 - 29,296,254,550
30 - 39,191,212,403
40 - 49,202,168,370
50 - 59,247,223,470
60 - 69,132,114,246
70 - 79,68,51,119
80+,48,66,114
