Altersklasse,Covid-Fälle
0 - 9,451
10 - 19,3205
20 - 29,5899
30 - 39,5885
40 - 49,5470
50 - 59,5814
60 - 69,3477
70 - 79,1940
80+,2289
Unbekannt,6
