Altersklasse,Covid-Fälle
0 - 9,610
10 - 19,3588
20 - 29,6420
30 - 39,6393
40 - 49,5997
50 - 59,6318
60 - 69,3745
70 - 79,2067
80+,2364
Unbekannt,6
