Altersklasse,Männer,Frauen,Total
0 - 9,46.0,48.0,94.0
10 - 19,598.0,699.0,1297.0
20 - 29,1456.0,1514.0,2970.0
30 - 39,1282.0,1149.0,2431.0
40 - 49,1095.0,1184.0,2279.0
50 - 59,1248.0,1356.0,2604.0
60 - 69,877.0,803.0,1680.0
70 - 79,550.0,478.0,1028.0
80+,409.0,651.0,1060.0
