Altersklasse,Covid-Fälle
0 - 9,1246
10 - 19,5254
20 - 29,8498
30 - 39,8377
40 - 49,7893
50 - 59,7930
60 - 69,4521
70 - 79,2350
80+,2506
Unbekannt,7
