Altersklasse,Covid-Fälle
0 - 9,1006
10 - 19,4609
20 - 29,7634
30 - 39,7638
40 - 49,7246
50 - 59,7401
60 - 69,4298
70 - 79,2265
80+,2451
Unbekannt,7
